ground truth; time
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
1; 810
0; 810
